soc6,title,ilo_exposure_mean,observed_exposure,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,HumanMoat_seed_equal_weight,"Employment change, percent, 2025–35","Median annual wage, dollars, 2025",mapping_confidence,bls_ai_mention,qa_status,qa_reason,interpretation_rule
21-2011,Clergy,0.1657777777777777,0.1116,17.559523809523807,77.38095238095238,59.82142857142857,59.82142857142857,55.924990852543,2.4,60810.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
13-1032,"Insurance Appraisers, Auto Damage",0.449,0.0,86.72619047619048,27.24867724867725,-59.47751322751323,59.47751322751323,70.63007683863886,-8.7,78240.0,A,1,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
13-1075,Labor Relations Specialists,0.448,0.0,86.36904761904762,27.24867724867725,-59.12037037037037,59.12037037037037,47.2085620197585,2.1,95420.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
39-1013,First-Line Supervisors of Gambling Services Workers,0.446,0.0,85.95238095238096,27.24867724867725,-58.70370370370371,58.70370370370371,56.70837907061836,3.5,63820.0,C,0,REVIEW,low_mapping_confidence; anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
39-3012,Gambling and Sports Book Writers and Runners,0.446,0.0,85.95238095238096,27.24867724867725,-58.70370370370371,58.70370370370371,23.99268203439444,1.8,34980.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
39-3011,Gambling Dealers,0.446,0.0,85.95238095238096,27.24867724867725,-58.70370370370371,58.70370370370371,38.42188071716063,3.4,34320.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
47-2061,Construction Laborers,0.0939166666666666,0.0281,1.4285714285714286,59.85449735449735,58.42592592592592,58.42592592592592,54.28686425173801,7.3,47120.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
13-1051,Cost Estimators,0.445,0.0,85.41666666666666,27.24867724867725,-58.1679894179894,58.1679894179894,28.80607391145262,-3.1,78740.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
47-2132,"Insulation Workers, Mechanical",0.1270833333333333,0.0439,7.202380952380952,65.21164021164022,58.00925925925927,58.00925925925927,49.34504207830223,5.1,58340.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
51-9198,Helpers--Production Workers,0.12,0.0393,5.714285714285714,63.35978835978836,57.645502645502646,57.645502645502646,46.60958653494328,-8.2,39070.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
31-2012,Occupational Therapy Aides,0.1504166666666666,0.0661,13.98809523809524,70.63492063492063,56.64682539682539,56.64682539682539,57.590559824368825,3.6,39160.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
37-2021,Pest Control Workers,0.1332142857142857,0.046,9.107142857142856,65.60846560846561,56.50132275132275,56.50132275132275,67.95682400292718,5.5,45250.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
11-9131,Postmasters and Mail Superintendents,0.4189999999999999,0.0,83.03571428571429,27.24867724867725,-55.78703703703704,55.78703703703704,65.65605561653861,-0.3,96660.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
11-3012,Administrative Services Managers,0.4189999999999999,0.0,83.03571428571429,27.24867724867725,-55.78703703703704,55.78703703703704,58.6977680204903,5.2,114130.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.4075,0.0,81.66666666666667,27.24867724867725,-54.41798941798942,54.41798941798942,59.89718258324185,-7.2,39280.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.4075,0.0,81.66666666666667,27.24867724867725,-54.41798941798942,54.41798941798942,27.386754482253927,-5.3,58470.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-5052,Postal Service Mail Carriers,0.4075,0.0,81.66666666666667,27.24867724867725,-54.41798941798942,54.41798941798942,43.75923893157702,-0.3,60550.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
19-1041,Epidemiologists,0.396875,0.0,80.47619047619048,27.24867724867725,-53.22751322751323,53.22751322751323,39.41126966703256,18.7,87220.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
19-1012,Food Scientists and Technologists,0.396875,0.0,80.47619047619048,27.24867724867725,-53.22751322751323,53.22751322751323,46.47822905232344,6.2,88720.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
19-1011,Animal Scientists,0.396875,0.0,80.47619047619048,27.24867724867725,-53.22751322751323,53.22751322751323,53.20197585071351,5.8,68940.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.1128369227994227,0.0203,4.404761904761905,57.53968253968254,53.13492063492063,53.13492063492063,26.44163922429565,-2.4,35660.0,C,0,REVIEW,low_mapping_confidence,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
41-2012,Gambling Change Persons and Booth Cashiers,0.394375,0.0,79.82142857142858,27.24867724867725,-52.57275132275133,52.57275132275133,51.095865349432856,-1.9,36220.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
33-9021,Private Detectives and Investigators,0.39075,0.0,78.63095238095238,27.24867724867725,-51.382275132275126,51.382275132275126,56.7844859129162,5.5,51220.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
33-3011,Bailiffs,0.39075,0.0,78.63095238095238,27.24867724867725,-51.382275132275126,51.382275132275126,54.42407610684229,-1.9,56600.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
33-1011,First-Line Supervisors of Correctional Officers,0.1375,0.0315,9.821428571428571,60.97883597883597,51.157407407407405,51.157407407407405,73.98609586534943,-2.5,77970.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
19-3039,"Psychologists, All Other | Neuropsychologists | Clinical Neuropsychologists",0.3905555555555555,0.0,78.03571428571429,27.24867724867725,-50.78703703703704,50.78703703703704,50.97145993413832,2.3,110840.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
13-1074,Farm Labor Contractors,0.3899999999999999,0.0,77.61904761904762,27.24867724867725,-50.37037037037037,50.37037037037037,62.56458104646909,7.4,58460.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
41-2022,Parts Salespersons,0.3844999999999999,0.0,76.96428571428572,27.24867724867725,-49.71560846560847,49.71560846560847,67.22795462861325,3.0,38630.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
19-1031,Conservation Scientists | Range Managers | Park Naturalists,0.3837142857142857,0.0,76.72619047619048,27.24867724867725,-49.47751322751323,49.47751322751323,47.06159287718014,5.3,73010.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
47-2181,Roofers,0.12625,0.0157,6.964285714285714,56.34920634920635,49.38492063492063,49.38492063492063,63.51774606659349,5.3,55440.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
51-6052,"Tailors, Dressmakers, and Custom Sewers",0.1459090909090909,0.0342,12.738095238095235,61.90476190476191,49.16666666666667,49.16666666666667,46.24039517014271,-8.8,41640.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-5041,"Meter Readers, Utilities",0.3767857142857143,0.0,75.41666666666667,27.24867724867725,-48.16798941798942,48.16798941798942,43.99634101719722,-10.5,48150.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.3767857142857143,0.0,75.41666666666667,27.24867724867725,-48.16798941798942,48.16798941798942,43.664471276985,-3.4,47450.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
11-9161,Emergency Management Directors,0.3766666666666667,0.0,75.23809523809524,27.24867724867725,-47.98941798941799,47.98941798941799,53.422612513721184,3.9,93330.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.186723324970484,0.1015,28.214285714285715,76.19047619047619,47.97619047619048,47.97619047619048,62.669593852908896,4.1,79860.0,C,0,REVIEW,low_mapping_confidence,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
27-2022,Coaches and Scouts,0.3740909090909091,0.0,75.05952380952381,27.24867724867725,-47.81084656084656,47.81084656084656,52.05890962312477,6.1,47320.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
27-2023,"Umpires, Referees, and Other Sports Officials",0.3740909090909091,0.0,75.05952380952381,27.24867724867725,-47.81084656084656,47.81084656084656,37.306256860592754,5.2,40710.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
29-1021,"Dentists, General",0.14925,0.0309,13.333333333333334,60.84656084656085,47.51322751322751,47.51322751322751,83.37687522868643,5.7,170950.0,A,0,PASS_WITH_CAUTION,no automatic red flag,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
17-1012,Landscape Architects,0.3708333333333333,0.0,74.52380952380952,27.24867724867725,-47.275132275132265,47.275132275132265,32.438346139773145,4.4,79870.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
25-4013,Museum Technicians and Conservators,0.3702777777777777,0.0,74.40476190476191,27.24867724867725,-47.15608465608466,47.15608465608466,47.59458470545188,3.6,51440.0,A,0,REVIEW,anthropic_zero,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
