soc6,title,ilo_exposure_mean,observed_exposure,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,HumanMoat_seed_equal_weight,"Employment change, percent, 2025–35","Median annual wage, dollars, 2025"
33-9021,Private Detectives and Investigators,0.39075,0.0,78.63095238095238,27.24867724867725,-51.382275132275126,51.382275132275126,56.7844859129162,5.5,51220.0
33-3011,Bailiffs,0.39075,0.0,78.63095238095238,27.24867724867725,-51.382275132275126,51.382275132275126,54.42407610684229,-1.9,56600.0
33-1011,First-Line Supervisors of Correctional Officers,0.1375,0.0315,9.821428571428571,60.978835978835974,51.157407407407405,51.157407407407405,73.98609586534943,-2.5,77970.0
19-3039,"Psychologists, All Other | Neuropsychologists | Clinical Neuropsychologists",0.3905555555555555,0.0,78.03571428571429,27.24867724867725,-50.78703703703704,50.78703703703704,50.97145993413832,2.3,110840.0
13-1074,Farm Labor Contractors,0.3899999999999999,0.0,77.61904761904762,27.24867724867725,-50.37037037037037,50.37037037037037,62.56458104646909,7.4,58460.0
41-2022,Parts Salespersons,0.3844999999999999,0.0,76.96428571428572,27.24867724867725,-49.71560846560847,49.71560846560847,67.22795462861325,3.0,38630.0
19-1031,Conservation Scientists | Range Managers | Park Naturalists,0.3837142857142857,0.0,76.72619047619048,27.24867724867725,-49.47751322751323,49.47751322751323,47.06159287718014,5.3,73010.0
47-2181,Roofers,0.12625,0.0157,6.964285714285714,56.34920634920635,49.38492063492063,49.38492063492063,63.51774606659349,5.3,55440.0
51-6052,"Tailors, Dressmakers, and Custom Sewers",0.1459090909090909,0.0342,12.738095238095237,61.904761904761905,49.16666666666667,49.16666666666667,46.24039517014271,-8.8,41640.0
43-5041,"Meter Readers, Utilities",0.3767857142857143,0.0,75.41666666666667,27.24867724867725,-48.16798941798942,48.16798941798942,43.99634101719722,-10.5,48150.0
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.3767857142857143,0.0,75.41666666666667,27.24867724867725,-48.16798941798942,48.16798941798942,43.664471276985,-3.4,47450.0
11-9161,Emergency Management Directors,0.3766666666666667,0.0,75.23809523809524,27.24867724867725,-47.98941798941799,47.98941798941799,53.422612513721184,3.9,93330.0
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.186723324970484,0.1015,28.214285714285715,76.19047619047619,47.976190476190474,47.976190476190474,62.669593852908896,4.1,79860.0
27-2022,Coaches and Scouts,0.3740909090909091,0.0,75.05952380952381,27.24867724867725,-47.81084656084656,47.81084656084656,52.05890962312477,6.1,47320.0
27-2023,"Umpires, Referees, and Other Sports Officials",0.3740909090909091,0.0,75.05952380952381,27.24867724867725,-47.81084656084656,47.81084656084656,37.306256860592754,5.2,40710.0
29-1021,"Dentists, General",0.14925,0.0309,13.333333333333334,60.84656084656085,47.51322751322751,47.51322751322751,83.37687522868643,5.7,170950.0
17-1012,Landscape Architects,0.3708333333333333,0.0,74.52380952380952,27.24867724867725,-47.275132275132265,47.275132275132265,32.438346139773145,4.4,79870.0
25-4013,Museum Technicians and Conservators,0.3702777777777777,0.0,74.40476190476191,27.24867724867725,-47.15608465608466,47.15608465608466,47.59458470545188,3.6,51440.0
19-4031,Chemical Technicians,0.2575,0.3148,46.42857142857143,92.32804232804233,45.8994708994709,45.8994708994709,46.154043175997074,4.9,60390.0
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.1408611111111111,0.0179,11.428571428571429,56.87830687830689,45.449735449735456,45.449735449735456,60.45700695206732,9.1,38150.0
25-1041,"Agricultural Sciences Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,50.19904866447128,2.9,98700.0
25-1064,"Geography Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,34.185144529820704,2.7,97590.0
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,49.729601170874496,2.4,75870.0
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,40.98536406878888,2.7,85020.0
25-1112,"Law Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,29.43249176728869,2.6,128500.0
25-1065,"Political Science Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,37.87596048298573,2.5,98070.0
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,47.19904866447128,1.5,76590.0
25-1067,"Sociology Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,35.62422246615441,2.2,84290.0
25-1063,"Economics Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,27.76545920234175,2.4,123920.0
25-1113,"Social Work Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,41.65129893889498,2.6,77570.0
25-1054,"Physics Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,42.11452616172704,2.4,100310.0
25-1031,"Architecture Teachers, Postsecondary",0.3694444444444444,0.0,72.02380952380952,27.24867724867725,-44.775132275132265,44.775132275132265,39.00219538968167,2.6,96870.0
31-9095,Pharmacy Aides,0.1504166666666666,0.022,13.988095238095239,58.201058201058196,44.212962962962955,44.212962962962955,55.0032930845225,-0.7,37680.0
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.26125,0.2972,46.964285714285715,91.005291005291,44.041005291005284,44.041005291005284,50.40468349798756,-0.4,64370.0
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.165,0.032,17.261904761904763,61.111111111111114,43.849206349206355,43.849206349206355,23.774972557628978,-13.7,39530.0
51-7032,"Patternmakers, Wood",0.1622916666666666,0.0301,16.607142857142858,60.317460317460316,43.710317460317455,43.710317460317455,59.12074643249176,-2.0,49630.0
27-2032,Choreographers,0.1935416666666666,0.0801,29.702380952380953,73.14814814814815,43.4457671957672,43.4457671957672,39.57116721551408,3.1,55310.0
51-9161,Computer Numerically Controlled Tool Operators,0.1508333333333333,0.0215,14.642857142857144,57.936507936507944,43.2936507936508,43.2936507936508,45.746066593487015,-9.4,50690.0
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.27878125,0.3565,51.3095238095238,93.91534391534393,42.60582010582012,42.60582010582012,29.73984632272228,-2.9,55490.0
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.369,0.0,69.64285714285714,27.24867724867725,-42.394179894179885,42.394179894179885,38.466154409074285,-4.8,46380.0
27-1027,Set and Exhibit Designers,0.36725,0.0,69.16666666666667,27.24867724867725,-41.91798941798942,41.91798941798942,35.44822539334065,1.4,75240.0
27-1025,Interior Designers,0.36725,0.0,69.16666666666667,27.24867724867725,-41.91798941798942,41.91798941798942,45.86571533113794,2.7,67190.0
27-1026,Merchandise Displayers and Window Trimmers,0.36725,0.0,69.16666666666667,27.24867724867725,-41.91798941798942,41.91798941798942,47.80497621661178,2.7,39390.0
47-2152,"Plumbers, Pipefitters, and Steamfitters | Solar Thermal Installers and Technicians",0.1515,0.0116,14.821428571428571,55.62169312169311,40.800264550264544,40.800264550264544,65.70783022319796,6.8,63800.0
11-9051,Food Service Managers,0.363,0.0,67.73809523809524,27.24867724867725,-40.48941798941799,40.48941798941799,74.35784851811196,5.8,69390.0
11-3111,Compensation and Benefits Managers,0.3563636363636364,0.0,66.9047619047619,27.24867724867725,-39.656084656084644,39.656084656084644,47.40687888766922,1.1,149230.0
11-3121,Human Resources Managers,0.3563636363636364,0.0,66.9047619047619,27.24867724867725,-39.656084656084644,39.656084656084644,62.363702890596414,5.5,149280.0
49-2098,Security and Fire Alarm Systems Installers,0.1745,0.0303,21.30952380952381,60.449735449735456,39.140211640211646,39.140211640211646,79.05488474204172,6.8,60070.0
49-9041,Industrial Machinery Mechanics,0.1739285714285714,0.0239,20.238095238095237,59.06084656084656,38.822751322751316,38.822751322751316,34.103183315038414,17.8,64520.0
43-3071,Tellers,0.58225,0.0231,97.38095238095238,58.597883597883595,-38.783068783068785,38.783068783068785,58.75118916941089,-13.2,43030.0
27-4014,Sound Engineering Technicians,0.3517857142857142,0.0,65.89285714285714,27.24867724867725,-38.644179894179885,38.644179894179885,41.15587266739846,-3.1,73130.0
33-3051,Police and Sheriff's Patrol Officers | Customs and Border Protection Officers,0.23015625,0.1234,40.23809523809524,78.57142857142857,38.33333333333333,38.33333333333333,79.84229784120015,3.5,76210.0
17-2041,Chemical Engineers,0.351625,0.0,65.47619047619048,27.24867724867725,-38.22751322751323,38.22751322751323,43.18368093669959,4.7,125040.0
19-4013,Food Science Technicians,0.2593055555555555,0.2038,46.60714285714286,84.78835978835978,38.18121693121692,38.18121693121692,47.59787778997439,4.8,52130.0
19-4043,"Geological Technicians, Except Hydrologic Technicians",0.26984375,0.229,48.214285714285715,86.37566137566137,38.16137566137565,38.16137566137565,35.46505671423344,3.6,53350.0
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",0.168125,0.0152,18.154761904761905,56.21693121693122,38.06216931216932,38.06216931216932,27.650567142334427,-13.6,38760.0
25-2032,"Career/Technical Education Teachers, Secondary School",0.34825,0.0,64.76190476190476,27.24867724867725,-37.513227513227505,37.513227513227505,62.13940724478596,-0.4,66270.0
25-2023,"Career/Technical Education Teachers, Middle School",0.34825,0.0,64.76190476190476,27.24867724867725,-37.513227513227505,37.513227513227505,44.24222466154409,-0.5,65030.0
53-2031,Flight Attendants,0.2152272727272727,0.0913,36.666666666666664,74.07407407407408,37.40740740740741,37.40740740740741,83.64581046469081,8.8,63580.0
33-9099,"Protective Service Workers, All Other | Retail Loss Prevention Specialists",0.1972499999999999,0.0571,31.25,68.38624338624338,37.13624338624338,37.13624338624338,68.08488840102451,3.0,42540.0
17-3011,Architectural and Civil Drafters,0.3475,0.0,64.3452380952381,27.24867724867725,-37.09656084656085,37.09656084656085,34.484083424807906,5.2,66150.0
17-3013,Mechanical Drafters,0.3475,0.0,64.3452380952381,27.24867724867725,-37.09656084656085,37.09656084656085,29.34357848518112,-6.0,71550.0
53-6061,Passenger Attendants,0.2322386363636363,0.1169,40.714285714285715,77.64550264550265,36.93121693121693,36.93121693121693,37.65642151481889,6.0,37720.0
29-2057,Ophthalmic Medical Technicians,0.346,0.0,63.988095238095234,27.24867724867725,-36.73941798941799,36.73941798941799,51.90962312477132,21.4,45570.0
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",0.1781249999999999,0.0304,24.166666666666668,60.58201058201058,36.41534391534391,36.41534391534391,60.61287961946579,7.7,35790.0
11-9021,Construction Managers,0.2377045454545454,0.1186,41.66666666666667,78.04232804232805,36.37566137566138,36.37566137566138,68.19612147822906,9.1,114990.0
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.2133333333333333,0.0734,35.95238095238095,71.82539682539682,35.87301587301587,35.87301587301587,50.01280643980974,3.4,31200.0
21-1093,Social and Human Service Assistants,0.3285,0.0,62.976190476190474,27.24867724867725,-35.72751322751323,35.72751322751323,51.495792169776806,7.4,45930.0
17-2021,Agricultural Engineers,0.3233928571428571,0.0,62.44047619047619,27.24867724867725,-35.191798941798936,35.191798941798936,38.27991218441274,6.9,98590.0
39-9041,Residential Advisors,0.2133333333333333,0.067,35.95238095238095,70.8994708994709,34.94708994708995,34.94708994708995,50.43468715697036,3.5,42240.0
11-9071,Gambling Managers,0.3225,0.0,62.142857142857146,27.24867724867725,-34.8941798941799,34.8941798941799,71.7811928283937,3.6,93220.0
43-5031,Public Safety Telecommunicators,0.1972499999999999,0.0465,31.25,65.74074074074075,34.49074074074075,34.49074074074075,73.75740944017564,3.7,53040.0
43-5011,Cargo and Freight Agents | Freight Forwarders,0.5085416666666667,0.0165,90.83333333333333,56.481481481481474,-34.351851851851855,34.351851851851855,54.70911086717892,6.2,52260.0
13-2061,Financial Examiners,0.6180555555555556,0.0428,98.75,64.55026455026454,-34.199735449735456,34.199735449735456,36.801317233809,9.3,94160.0
29-1129,"Therapists, All Other | Art Therapists | Music Therapists",0.1949999999999999,0.0402,30.0,63.75661375661375,33.75661375661375,33.75661375661375,52.95353091840468,12.6,77930.0
53-2021,Air Traffic Controllers,0.31,0.0,60.952380952380956,27.24867724867725,-33.70370370370371,33.70370370370371,68.42956458104646,1.7,148080.0
49-2011,"Computer, Automated Teller, and Office Machine Repairers",0.2432142857142857,0.1067,43.333333333333336,76.98412698412699,33.65079365079365,33.65079365079365,58.77387486278813,-3.0,47810.0
29-9021,Health Information Technologists and Medical Registrars,0.3012068452380952,0.3063,58.57142857142858,91.66666666666666,33.09523809523808,33.09523809523808,,15.9,68020.0
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.2981818181818182,0.2901,57.97619047619048,90.60846560846561,32.632275132275126,32.632275132275126,49.5225027442371,-0.2,72040.0
29-2031,Cardiovascular Technologists and Technicians,0.3047857142857143,0.0,59.82142857142857,27.24867724867725,-32.572751322751316,32.572751322751316,63.96633735821441,3.7,74310.0
29-2055,Surgical Technologists,0.3047857142857143,0.0,59.82142857142857,27.24867724867725,-32.572751322751316,32.572751322751316,64.75997072813757,5.0,64650.0
31-2011,Occupational Therapy Assistants,0.3047857142857143,0.0,59.82142857142857,27.24867724867725,-32.572751322751316,32.572751322751316,72.13282107574095,21.5,72300.0
29-2053,Psychiatric Technicians,0.3047857142857143,0.0,59.82142857142857,27.24867724867725,-32.572751322751316,32.572751322751316,43.47200878155873,22.3,45130.0
29-1126,Respiratory Therapists,0.3047857142857143,0.0,59.82142857142857,27.24867724867725,-32.572751322751316,32.572751322751316,67.14233443102817,8.5,82280.0
25-3041,Tutors,0.3373958333333333,0.4077,63.33333333333333,95.8994708994709,32.56613756613757,32.56613756613757,32.502744237102085,-0.2,43350.0
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.197525,0.0425,31.9047619047619,64.41798941798942,32.51322751322752,32.51322751322752,40.97072813757775,-1.7,48540.0
29-1224,Radiologists,0.2790454545454545,0.199,51.8452380952381,84.25925925925925,32.41402116402115,32.41402116402115,70.38382729601172,3.4,420860.0
43-3051,Payroll and Timekeeping Clerks,0.6065,0.0487,98.45238095238096,66.53439153439153,-31.917989417989432,31.917989417989432,27.41748993779729,-15.9,58260.0
17-2161,Nuclear Engineers,0.3047222222222222,0.0,59.10714285714286,27.24867724867725,-31.85846560846561,31.85846560846561,33.28430296377607,0.4,133970.0
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors | Fire-Prevention and Protection Engineers",0.3047222222222222,0.0,59.10714285714286,27.24867724867725,-31.85846560846561,31.85846560846561,51.12422246615441,5.4,115160.0
45-2011,Agricultural Inspectors,0.3026166666666666,0.0,58.80952380952381,27.24867724867725,-31.56084656084656,31.56084656084656,59.4807903402854,2.3,49940.0
19-3099,"Social Scientists and Related Workers, All Other | Transportation Planners",0.531875,0.0327,92.85714285714286,61.50793650793651,-31.349206349206348,31.349206349206348,32.090742773508964,-0.2,101110.0
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.21725,0.0564,37.142857142857146,68.12169312169311,30.978835978835967,30.978835978835967,41.85766556897183,5.4,44080.0
23-1023,"Judges, Magistrate Judges, and Magistrates",0.3125,0.3109,61.25000000000001,92.1957671957672,30.945767195767196,30.945767195767196,75.05708013172338,2.8,153990.0
17-2131,Materials Engineers,0.2986111111111111,0.0,58.0952380952381,27.24867724867725,-30.846560846560852,30.846560846560852,36.611050128064406,7.5,112860.0
17-3025,Environmental Engineering Technologists and Technicians,0.256,0.1029,45.89285714285714,76.71957671957672,30.826719576719583,30.826719576719583,43.80717160629345,3.1,59920.0
33-9031,Gambling Surveillance Officers and Gambling Investigators,0.296625,0.0,57.85714285714286,27.24867724867725,-30.60846560846561,30.60846560846561,67.09623124771313,-1.8,43370.0
19-2021,Atmospheric and Space Scientists,0.5363888888888888,0.038,93.33333333333333,62.83068783068783,-30.5026455026455,30.5026455026455,26.10501280643981,2.6,99070.0
51-1011,First-Line Supervisors of Production and Operating Workers,0.2960416666666667,0.0,57.738095238095234,27.24867724867725,-30.489417989417984,30.489417989417984,72.09110867178924,1.8,74450.0
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0.493125,0.0275,90.0,59.523809523809526,-30.476190476190474,30.476190476190474,47.561287961946576,-1.0,62370.0
17-1022,Surveyors | Geodetic Surveyors,0.43875,0.0022,84.94047619047619,54.4973544973545,-30.44312169312169,30.44312169312169,46.65148188803513,5.8,75440.0
51-8091,Chemical Plant and System Operators,0.29375,0.0,57.61904761904761,27.24867724867725,-30.370370370370363,30.370370370370363,60.85327478960848,-5.2,78120.0
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.3125,0.3048,61.25000000000001,91.53439153439153,30.284391534391524,30.284391534391524,58.05159165751921,0.0,117860.0
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0.2925,0.0,57.44047619047619,27.24867724867725,-30.19179894179894,30.19179894179894,48.59824368825467,3.8,106220.0
17-2171,Petroleum Engineers,0.2925,0.0,57.44047619047619,27.24867724867725,-30.19179894179894,30.19179894179894,47.7830223197951,2.0,144910.0
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.2097847222222222,0.0436,34.88095238095238,64.94708994708994,30.066137566137556,30.066137566137556,52.95865349432857,3.2,49100.0
25-2021,"Elementary School Teachers, Except Special Education",0.26125,0.103,46.964285714285715,76.85185185185185,29.887566137566132,29.887566137566132,52.62861324551775,-0.4,63970.0
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.2921875,0.0,57.08333333333333,27.24867724867725,-29.83465608465608,29.83465608465608,42.706549579216976,6.4,36300.0
53-6021,Parking Attendants,0.2921875,0.0,57.08333333333333,27.24867724867725,-29.83465608465608,29.83465608465608,37.6161727039883,2.0,35150.0
39-3021,Motion Picture Projectionists,0.2921875,0.0,57.08333333333333,27.24867724867725,-29.83465608465608,29.83465608465608,27.60080497621661,-6.2,38270.0
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",0.2921875,0.0,57.08333333333333,27.24867724867725,-29.83465608465608,29.83465608465608,35.39590193926089,0.9,32910.0
29-1222,"Physicians, Pathologists",0.2790454545454545,0.1577,51.8452380952381,81.41534391534393,29.570105820105823,29.570105820105823,70.30406147091108,4.8,312400.0
29-1171,Nurse Practitioners,0.252,0.0944,45.23809523809524,74.73544973544973,29.497354497354493,29.497354497354493,78.67581412367362,41.0,132300.0
53-7071,Gas Compressor and Gas Pumping Station Operators,0.2905,0.0,56.666666666666664,27.24867724867725,-29.417989417989414,29.417989417989414,62.10135382363702,2.1,77320.0
29-2033,Nuclear Medicine Technologists,0.22,0.0513,37.73809523809524,66.9973544973545,29.259259259259252,29.259259259259252,72.51115989754848,4.4,101370.0
27-1012,Craft Artists,0.2234657512626262,0.0539,38.452380952380956,67.65873015873017,29.20634920634921,29.20634920634921,25.753750457372853,2.0,46080.0
53-5021,"Captains, Mates, and Pilots of Water Vessels",0.2878125,0.0,56.42857142857143,27.24867724867725,-29.17989417989418,29.17989417989418,80.8027808269301,4.0,92460.0
53-7065,Stockers and Order Fillers,0.28684375,0.0,56.30952380952381,27.24867724867725,-29.06084656084656,29.06084656084656,32.8781558726674,8.9,37330.0
29-1215,Family Medicine Physicians,0.286590909090909,0.0,56.07142857142857,27.24867724867725,-28.82275132275132,28.82275132275132,76.52689352360044,3.3,244180.0
29-1221,"Pediatricians, General",0.286590909090909,0.0,56.07142857142857,27.24867724867725,-28.82275132275132,28.82275132275132,72.24917672886939,1.5,210040.0
51-4051,Metal-Refining Furnace Operators and Tenders,0.2861428571428571,0.0,55.833333333333336,27.24867724867725,-28.584656084656086,28.584656084656086,42.6494694474936,-2.9,54430.0
19-4099,"Life, Physical, and Social Science Technicians, All Other | Quality Control Analysts | Remote Sensing Technicians",0.25675,0.0954999999999999,46.30952380952381,74.86772486772487,28.558201058201064,28.558201058201064,32.04189535309184,4.4,62280.0
25-9021,Farm and Home Management Educators,0.2852083333333333,0.0,55.654761904761905,27.24867724867725,-28.406084656084655,28.406084656084655,49.212221002561286,-3.2,60220.0
19-1032,Foresters,0.2852083333333333,0.0,55.654761904761905,27.24867724867725,-28.406084656084655,28.406084656084655,57.86900841566044,2.2,76400.0
39-3091,Amusement and Recreation Attendants,0.2336651785714285,0.0619,41.07142857142857,69.44444444444444,28.373015873015873,28.373015873015873,35.16611781924625,3.7,32150.0
35-2014,"Cooks, Restaurant",0.184,0.0116,27.26190476190476,55.62169312169311,28.359788359788354,28.359788359788354,37.777167947310645,12.1,37390.0
19-3093,Historians,0.47125,0.028,87.91666666666667,59.65608465608465,-28.26058201058202,28.26058201058202,34.35455543358946,3.0,76750.0
29-2051,Dietetic Technicians,0.3047857142857143,0.2446,59.82142857142857,87.96296296296296,28.141534391534393,28.141534391534393,61.82912550311014,2.7,37640.0
15-2011,Actuaries,0.5615,0.0539,95.5952380952381,67.65873015873017,-27.936507936507937,27.936507936507937,27.12733260153677,9.2,130000.0
49-9061,Camera and Photographic Equipment Repairers,0.2140625,0.0412,36.36904761904762,64.21957671957672,27.8505291005291,27.8505291005291,31.682766190998905,-15.5,52720.0
11-3131,Training and Development Managers,0.3563636363636364,0.3777,66.9047619047619,94.70899470899471,27.80423280423281,27.80423280423281,36.75887303329674,6.4,133000.0
11-9171,Funeral Home Managers,0.4189999999999999,0.0108,83.03571428571429,55.35714285714286,-27.67857142857143,27.67857142857143,85.53018660812295,4.1,78790.0
21-1091,Health Education Specialists,0.28025,0.1376,52.44047619047619,79.8941798941799,27.45370370370371,27.45370370370371,61.5843395536041,5.6,64070.0
29-1128,Exercise Physiologists,0.2835714285714286,0.0,54.58333333333333,27.24867724867725,-27.33465608465608,27.33465608465608,52.0768386388584,12.8,59460.0
47-2021,Brickmasons and Blockmasons,0.0886666666666666,0.0,0.11904761904761905,27.24867724867725,27.12962962962963,27.12962962962963,47.6293450420783,1.1,62120.0
