onet_soc,title,description,soc2018,ilo_exposure_mean,ilo_exposure_min,ilo_exposure_max,ilo_isco_count,mapping_confidence,observed_exposure,Context,Interaction,Judgment,Physicality,Responsibility,hm_dimensions_available,HumanMoat_seed_equal_weight,HumanMoat_confidence,ILO_Exposure_Score,Anthropic_Observed_Exposure_Score,AI_Exposure_Composite_Descriptive,coverage_count,data_confidence,_soc6,2025 National Employment Matrix title,2025 National Employment Matrix code,Occupation type,"Employment, 2025","Employment, 2035","Employment distribution, percent, 2025","Employment distribution, percent, 2035","Employment change, numeric, 2025–35","Employment change, percent, 2025–35","Percent self-employed, 2025","Occupational openings, 2025–35 annual average","Median annual wage, dollars, 2025",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content,Related Occupational Outlook Handbook (OOH) content.1,"Labor force exit rate, 2025–35 annual average","Occupational transfer rate, 2025–35 annual average","Total occupational separations rate, 2025–35 annual average","Labor force exits, 2025–35 annual average","Occupational transfers, 2025–35 annual average","Total occupational separations, 2025–35 annual average","Occupational openings, 2025–35 annual average_sep",2025 National Employment Matrix title_skill,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading,Top highest skill,Second highest skill,Third highest skill,opening_rate_pct,growth_percentile,wage_percentile,opening_rate_percentile
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",11-3013,0.4189999999999999,0.4189999999999999,0.4189999999999999,1,A,0.1345,77.25942188071717,83.73216245883644,78.88766922795463,66.55689718258324,49.25905598243688,5.0,71.13904134650568,A,41.899999999999984,13.45,27.674999999999997,4,A,11-3013,        Facilities managers,11-3013,Line item,165.9,173.5,0.1,0.1,7.6,4.6,0.4,14.2,106660,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/administrative-services-managers.htm"">OOH Content</a>",3.5,4.4,7.9,5.9,7.5,13.4,14.2,Facilities managers,85.0,60.0,79.0,65.0,72.0,27.0,39.0,74.0,94.0,63.0,76.0,49.0,84.0,97.0,76.0,62.0,63.0,Adaptability,Leadership,Problem solving and decision making,8.559373116335141,67.7496991576414,87.75757575757575,54.03128760529483
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",11-3013,0.4189999999999999,0.4189999999999999,0.4189999999999999,1,A,0.1345,64.83717526527626,66.31174533479694,67.25210391511159,51.555067691181854,69.51152579582876,5.0,63.89352360043908,A,41.899999999999984,13.45,27.674999999999997,4,A,11-3013,        Facilities managers,11-3013,Line item,165.9,173.5,0.1,0.1,7.6,4.6,0.4,14.2,106660,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/administrative-services-managers.htm"">OOH Content</a>",3.5,4.4,7.9,5.9,7.5,13.4,14.2,Facilities managers,85.0,60.0,79.0,65.0,72.0,27.0,39.0,74.0,94.0,63.0,76.0,49.0,84.0,97.0,76.0,62.0,63.0,Adaptability,Leadership,Problem solving and decision making,8.559373116335141,67.7496991576414,87.75757575757575,54.03128760529483
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",11-3021,0.4402272727272727,0.4402272727272727,0.4402272727272727,1,A,0.1559,71.00256128796195,65.69703622392976,73.17965605561655,21.75265276253202,84.00109769484084,5.0,63.12660080497623,A,44.02272727272727,15.590000000000002,29.806363636363635,4,A,11-3021,      Computer and information systems managers,11-3021,Line item,685.8,793.9,0.4,0.5,108.1,15.8,0.7,53.5,175140,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm"">OOH Content</a>",1.6,4.2,5.8,11.9,30.7,42.6,53.5,Computer and information systems managers,66.0,97.0,73.0,95.0,53.0,71.0,35.0,58.0,94.0,81.0,41.0,17.0,93.0,97.0,26.0,59.0,75.0,Computers and information technology,Problem solving and decision making,Adaptability,7.801108194808982,97.11191335740072,96.96969696969697,42.59927797833935
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",11-3031,0.4210653409090908,0.3728125,0.4693181818181818,2,B,0.3907,64.56275155506769,58.32052689352359,62.56860592755214,21.2403951701427,72.20087815587267,5.0,55.77863154043175,A,42.106534090909086,39.07,40.58826704545454,4,A,11-3031,      Financial managers,11-3031,Line item,879.7,964.6,0.5,0.5,84.9,9.7,1.4,65.6,166570,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/financial-managers.htm"">OOH Content</a>",2.2,4.0,6.2,20.2,36.9,57.1,65.6,Financial managers,66.0,72.0,50.0,74.0,67.0,64.0,21.0,77.0,97.0,94.0,15.0,11.0,87.0,91.0,3.0,83.0,73.0,Leadership,Adaptability,Problem solving and decision making,7.457087643514834,92.17809867629362,96.24242424242424,35.49939831528279
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",11-3031,0.4210653409090908,0.3728125,0.4693181818181818,2,B,0.3907,43.30406147091109,48.77058177826565,59.12916209293817,1.8660812294182216,58.01317233809001,5.0,42.21661178192463,A,42.106534090909086,39.07,40.58826704545454,4,A,11-3031,      Financial managers,11-3031,Line item,879.7,964.6,0.5,0.5,84.9,9.7,1.4,65.6,166570,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/financial-managers.htm"">OOH Content</a>",2.2,4.0,6.2,20.2,36.9,57.1,65.6,Financial managers,66.0,72.0,50.0,74.0,67.0,64.0,21.0,77.0,97.0,94.0,15.0,11.0,87.0,91.0,3.0,83.0,73.0,Leadership,Adaptability,Problem solving and decision making,7.457087643514834,92.17809867629362,96.24242424242424,35.49939831528279
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",11-3031,0.4210653409090908,0.3728125,0.4693181818181818,2,B,0.3907,75.37504573728505,42.97475301866081,85.16282473472376,3.293084522502744,84.60482985729968,5.0,58.2821075740944,A,42.106534090909086,39.07,40.58826704545454,4,A,11-3031,      Financial managers,11-3031,Line item,879.7,964.6,0.5,0.5,84.9,9.7,1.4,65.6,166570,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/financial-managers.htm"">OOH Content</a>",2.2,4.0,6.2,20.2,36.9,57.1,65.6,Financial managers,66.0,72.0,50.0,74.0,67.0,64.0,21.0,77.0,97.0,94.0,15.0,11.0,87.0,91.0,3.0,83.0,73.0,Leadership,Adaptability,Problem solving and decision making,7.457087643514834,92.17809867629362,96.24242424242424,35.49939831528279
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",11-3051,0.37875,0.37875,0.37875,1,A,0.0132,77.27771679473106,69.3523600439078,79.76582510062202,59.074277350896445,68.08452250274425,5.0,70.71094035858032,A,37.875,1.32,19.5975,4,A,11-3051,      Industrial production managers,11-3051,Line item,252.1,258.6,0.1,0.1,6.5,2.6,2.4,17.0,126060,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/industrial-production-managers.htm"">OOH Content</a>",2.1,4.3,6.4,5.3,11.1,16.3,17.0,Industrial production managers,74.0,59.0,66.0,86.0,45.0,68.0,38.0,62.0,95.0,89.0,69.0,42.0,94.0,98.0,55.0,71.0,64.0,Problem solving and decision making,Adaptability,Leadership,6.743355811186038,47.95427196149218,91.87878787878788,24.067388688327316
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",11-3051,0.37875,0.37875,0.37875,1,A,0.0132,77.36919136480059,78.77058177826564,70.92938163190632,40.04756677643615,64.4072447859495,5.0,66.30479326747164,A,37.875,1.32,19.5975,4,A,11-3051,      Industrial production managers,11-3051,Line item,252.1,258.6,0.1,0.1,6.5,2.6,2.4,17.0,126060,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/industrial-production-managers.htm"">OOH Content</a>",2.1,4.3,6.4,5.3,11.1,16.3,17.0,Industrial production managers,74.0,59.0,66.0,86.0,45.0,68.0,38.0,62.0,95.0,89.0,69.0,42.0,94.0,98.0,55.0,71.0,64.0,Problem solving and decision making,Adaptability,Leadership,6.743355811186038,47.95427196149218,91.87878787878788,24.067388688327316
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,11-3051,0.37875,0.37875,0.37875,1,A,0.0132,82.94914013904135,72.1953896816685,80.55250640321991,44.16392242956457,90.5323819978046,5.0,74.07866813025979,A,37.875,1.32,19.5975,4,A,11-3051,      Industrial production managers,11-3051,Line item,252.1,258.6,0.1,0.1,6.5,2.6,2.4,17.0,126060,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/industrial-production-managers.htm"">OOH Content</a>",2.1,4.3,6.4,5.3,11.1,16.3,17.0,Industrial production managers,74.0,59.0,66.0,86.0,45.0,68.0,38.0,62.0,95.0,89.0,69.0,42.0,94.0,98.0,55.0,71.0,64.0,Problem solving and decision making,Adaptability,Leadership,6.743355811186038,47.95427196149218,91.87878787878788,24.067388688327316
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",11-3051,0.37875,0.37875,0.37875,1,A,0.0132,83.80900109769485,72.95279912184412,80.79034028540066,39.00475667764361,91.13611416026345,5.0,73.53860226856935,A,37.875,1.32,19.5975,4,A,11-3051,      Industrial production managers,11-3051,Line item,252.1,258.6,0.1,0.1,6.5,2.6,2.4,17.0,126060,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/industrial-production-managers.htm"">OOH Content</a>",2.1,4.3,6.4,5.3,11.1,16.3,17.0,Industrial production managers,74.0,59.0,66.0,86.0,45.0,68.0,38.0,62.0,95.0,89.0,69.0,42.0,94.0,98.0,55.0,71.0,64.0,Problem solving and decision making,Adaptability,Leadership,6.743355811186038,47.95427196149218,91.87878787878788,24.067388688327316
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",11-3051,0.37875,0.37875,0.37875,1,A,0.0132,72.9784120014636,68.2436882546652,72.66739846322723,48.13391877058177,79.91218441273327,5.0,68.38712038053421,A,37.875,1.32,19.5975,4,A,11-3051,      Industrial production managers,11-3051,Line item,252.1,258.6,0.1,0.1,6.5,2.6,2.4,17.0,126060,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/industrial-production-managers.htm"">OOH Content</a>",2.1,4.3,6.4,5.3,11.1,16.3,17.0,Industrial production managers,74.0,59.0,66.0,86.0,45.0,68.0,38.0,62.0,95.0,89.0,69.0,42.0,94.0,98.0,55.0,71.0,64.0,Problem solving and decision making,Adaptability,Leadership,6.743355811186038,47.95427196149218,91.87878787878788,24.067388688327316
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,11-3051,0.37875,0.37875,0.37875,1,A,0.0132,80.24149286498353,70.417124039517,78.59495060373216,42.75521405049397,89.73655323819978,5.0,72.34906695938528,A,37.875,1.32,19.5975,4,A,11-3051,      Industrial production managers,11-3051,Line item,252.1,258.6,0.1,0.1,6.5,2.6,2.4,17.0,126060,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/industrial-production-managers.htm"">OOH Content</a>",2.1,4.3,6.4,5.3,11.1,16.3,17.0,Industrial production managers,74.0,59.0,66.0,86.0,45.0,68.0,38.0,62.0,95.0,89.0,69.0,42.0,94.0,98.0,55.0,71.0,64.0,Problem solving and decision making,Adaptability,Leadership,6.743355811186038,47.95427196149218,91.87878787878788,24.067388688327316
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",11-3061,0.4189999999999999,0.4189999999999999,0.4189999999999999,1,A,0.2004,58.4156604463959,73.89681668496158,62.769849981705086,21.734357848518112,32.821075740944025,5.0,49.927552140504936,A,41.899999999999984,20.04,30.96999999999999,4,A,11-3061,      Purchasing managers,11-3061,Line item,88.3,91.8,0.1,0.1,3.5,4.0,3.5,6.4,148080,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm"">OOH Content</a>",2.3,4.4,6.7,2.1,4.0,6.1,6.4,Purchasing managers,86.0,85.0,77.0,83.0,69.0,42.0,0.0,73.0,98.0,88.0,21.0,14.0,78.0,99.0,23.0,83.0,72.0,Adaptability,Leadership,Problem solving and decision making,7.248018120045301,63.35740072202166,95.21212121212122,32.009626955475326
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",11-3071,0.385,0.385,0.385,1,A,0.0956,75.53969996341017,73.62239297475301,70.85620197585071,44.255396999634094,60.01646542261251,5.0,64.8580314672521,A,38.5,9.56,24.03,4,A,11-3071,"      Transportation, storage, and distribution managers",11-3071,Line item,228.1,242.1,0.1,0.1,14.0,6.1,3.6,18.3,107230,High school diploma or equivalent,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm"">OOH Content</a>",2.1,5.1,7.2,4.9,12.0,16.9,18.3,"Transportation, storage, and distribution managers",76.0,60.0,73.0,75.0,72.0,33.0,24.0,60.0,94.0,73.0,44.0,26.0,89.0,97.0,32.0,62.0,71.0,Adaptability,Problem solving and decision making,Leadership,8.022797018851382,80.86642599277978,88.12121212121212,46.20938628158845
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",11-3071,0.385,0.385,0.385,1,A,0.0956,57.99487742407612,78.2436882546652,52.12221002561288,30.479326747164283,31.11964873765093,5.0,49.99195023783389,A,38.5,9.56,24.03,4,A,11-3071,"      Transportation, storage, and distribution managers",11-3071,Line item,228.1,242.1,0.1,0.1,14.0,6.1,3.6,18.3,107230,High school diploma or equivalent,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm"">OOH Content</a>",2.1,5.1,7.2,4.9,12.0,16.9,18.3,"Transportation, storage, and distribution managers",76.0,60.0,73.0,75.0,72.0,33.0,24.0,60.0,94.0,73.0,44.0,26.0,89.0,97.0,32.0,62.0,71.0,Adaptability,Problem solving and decision making,Leadership,8.022797018851382,80.86642599277978,88.12121212121212,46.20938628158845
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",11-3111,0.3563636363636364,0.3563636363636364,0.3563636363636364,1,A,0.0,63.61141602634467,61.44895718990121,62.019758507135016,6.348335162824735,43.6059275521405,5.0,47.40687888766922,A,35.63636363636364,0.0,17.81818181818182,4,A,11-3111,      Compensation and benefits managers,11-3111,Line item,23.7,24.0,0.0,0.0,0.3,1.1,—,1.6,149230,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm"">OOH Content</a>",2.4,4.2,6.6,0.6,1.0,1.6,1.6,Compensation and benefits managers,73.0,64.0,56.0,75.0,46.0,33.0,5.0,67.0,84.0,85.0,1.0,6.0,81.0,92.0,1.0,76.0,82.0,Adaptability,Writing and reading,Problem solving and decision making,6.751054852320676,33.935018050541515,95.51515151515152,24.30806257521059
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",11-3121,0.3563636363636364,0.3563636363636364,0.3563636363636364,1,A,0.0,77.25942188071717,74.80790340285401,76.08854738382729,25.26527625320161,58.397365532382,5.0,62.363702890596414,A,35.63636363636364,0.0,17.81818181818182,4,A,11-3121,      Human resources managers,11-3121,Line item,224.9,237.4,0.1,0.1,12.5,5.5,0.2,16.8,149280,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/human-resources-managers.htm"">OOH Content</a>",2.2,4.5,6.7,5.1,10.5,15.6,16.8,Human resources managers,93.0,76.0,77.0,86.0,82.0,54.0,11.0,87.0,99.0,75.0,12.0,20.0,96.0,96.0,13.0,94.0,95.0,Adaptability,Leadership,Writing and reading,7.4699866607381065,75.27075812274369,95.63636363636364,35.74007220216607
